noh_crop,i_crop_a,un_crop_a,tca,state_code,district_code,district,social_group_code,class_category_code,size_class_code,crop_code
0,0,0,0,28,539,NALGONDA,1,1,12,606
0,0,0,0,28,539,NALGONDA,1,3,31,606
0,0,0,0,28,539,NALGONDA,3,4,42,606
4,6,0,6,28,539,NALGONDA,3,4,41,606
0,0,0,0,28,539,NALGONDA,1,4,43,606
4,1,0,1,28,539,NALGONDA,1,1,11,606
0,0,0,0,28,539,NALGONDA,3,3,32,606
0,0,0,0,28,539,NALGONDA,3,5,52,606
0,0,0,0,28,539,NALGONDA,1,4,42,606
0,0,0,0,28,532,ADILABAD,3,5,51,728
0,0,0,0,28,532,ADILABAD,3,4,41,728
0,0,0,0,28,532,ADILABAD,3,1,11,728
0,0,0,0,28,532,ADILABAD,3,5,52,728
0,0,0,0,28,532,ADILABAD,3,3,31,728
0,0,0,0,28,532,ADILABAD,3,3,32,728
0,0,0,0,28,532,ADILABAD,3,4,42,728
8,1,0,1,28,532,ADILABAD,3,1,12,728
0,0,0,0,28,532,ADILABAD,3,4,43,728
0,0,0,0,28,532,ADILABAD,3,2,21,728
181,3,43,46,28,535,MEDAK,3,1,11,728
31,2,18,20,28,535,MEDAK,1,2,21,728
0,0,0,0,28,534,KARIMNAGAR,3,3,32,728
8,3,0,3,28,534,KARIMNAGAR,3,2,21,728
0,0,0,0,28,534,KARIMNAGAR,1,4,41,728
49,20,100,120,28,535,MEDAK,3,4,42,728
297,71,206,277,28,535,MEDAK,3,2,21,728
0,0,0,0,28,535,MEDAK,1,5,52,728
0,0,0,0,28,535,MEDAK,1,4,41,728
0,0,0,0,28,534,KARIMNAGAR,1,4,43,728
0,0,0,0,28,535,MEDAK,1,4,42,728
0,0,0,0,28,535,MEDAK,1,4,43,728
17,4,0,4,28,535,MEDAK,3,3,32,728
5,2,0,2,28,535,MEDAK,1,3,31,728
5,4,0,4,28,535,MEDAK,3,5,51,728
0,0,0,0,28,535,MEDAK,2,5,51,728
0,0,0,0,28,535,MEDAK,2,4,41,728
185,25,76,100,28,535,MEDAK,3,1,12,728
29,0,25,25,28,535,MEDAK,2,1,12,728
98,30,68,98,28,535,MEDAK,3,3,31,728
0,0,0,0,28,535,MEDAK,2,5,52,728
56,3,30,34,28,535,MEDAK,1,1,12,728
0,0,0,0,28,535,MEDAK,2,3,31,728
0,0,0,0,28,535,MEDAK,2,3,32,728
4,0,14,14,28,535,MEDAK,1,3,32,728
0,0,0,0,28,535,MEDAK,2,4,42,728
0,0,0,0,28,535,MEDAK,2,4,43,728
20,0,79,79,28,535,MEDAK,3,4,43,728
0,0,0,0,28,535,MEDAK,1,5,51,728
10,4,0,4,28,534,KARIMNAGAR,1,1,11,728
26,0,8,8,28,535,MEDAK,2,1,11,728
0,0,0,0,28,534,KARIMNAGAR,1,5,52,728
0,0,0,0,28,534,KARIMNAGAR,3,5,52,728
0,0,0,0,28,534,KARIMNAGAR,1,3,31,728
9,4,0,4,28,534,KARIMNAGAR,1,1,12,728
0,0,0,0,28,534,KARIMNAGAR,3,4,41,728
14,6,0,6,28,534,KARIMNAGAR,3,1,12,728
0,0,0,0,28,534,KARIMNAGAR,1,3,32,728
0,0,0,0,28,534,KARIMNAGAR,3,3,31,728
