"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
36,537,99,11,107339,30551,6717,9282,15999
37,538,99,11,324726,83602,16430,45143,61573
37,539,99,11,256198,69226,42091,15941,58032
37,540,99,11,280779,70536,41806,23428,65234
37,541,99,11,170114,48535,29139,21398,50536
36,542,99,11,308866,72753,52447,40686,93133
36,543,99,11,244848,55780,31861,33551,65412
36,544,99,11,254854,61546,38829,26025,64853
36,545,99,11,421667,102491,124917,35706,160622
36,546,99,11,299108,79758,122028,4238,126266
36,547,99,11,257268,71639,69072,40284,109356
36,548,99,11,325972,95713,78225,45981,124206
36,549,99,11,214682,61716,17953,37821,55774
36,550,99,11,198408,51866,48706,6049,54755
36,551,99,11,123309,35264,19024,10326,29350
36,552,99,11,123253,39479,18273,21622,39895
36,553,99,11,108569,33680,5644,24160,29804
36,554,99,11,278390,71547,22016,25810,47826
37,532,4,21,6,8,3,2,5
37,533,4,21,8,11,1,3,4
37,534,4,21,5,9,2,3,6
37,535,4,21,32,46,12,7,19
36,537,4,21,10,16,1,2,3
37,538,4,21,0,0,0,0,0
37,539,4,21,16,22,10,3,13
37,540,4,21,1,1,1,0,1
37,541,4,21,24,38,19,5,24
36,542,4,21,106,162,127,48,175
36,543,4,21,6,10,7,1,7
36,544,4,21,43,62,37,2,40
36,545,4,21,126,183,205,35,240
36,546,4,21,144,208,232,1,232
36,547,4,21,1,2,0,1,1
36,548,4,21,142,214,85,85,170
36,549,4,21,15,22,1,11,12
36,550,4,21,152,214,134,26,160
36,551,4,21,5,6,2,3,5
36,552,4,21,2,3,3,0,3
36,553,4,21,80,114,9,63,72
36,554,4,21,5,8,0,3,3
37,532,1,21,18917,26616,3263,20659,23922
37,533,1,21,10813,14520,11983,7968,19951
37,534,1,21,13973,18940,14328,5567,19894
37,535,1,21,18593,25236,7035,15290,22325
36,537,1,21,12105,16722,2238,8313,10551
37,538,1,21,27944,39005,7649,27772,35421
37,539,1,21,14990,20554,8186,8521,16708
37,540,1,21,11507,15694,9313,4935,14247
