"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,535,2008,606,6,552,14057,25.46557971
28,537,2009,606,6,4,121,30.25
28,541,2011,606,6,991,36834,37.16851665
28,541,2008,606,6,517,13166,25.46615087
28,537,2004,606,6,271,6705,24.74169742
28,540,2003,606,6,436,6105,14.00229358
28,540,2008,606,6,174,4431,25.46551724
28,540,2005,606,6,111,2320,20.9009009
28,540,2009,606,6,190,5728,30.14736842
28,540,2010,606,6,150,4893,32.62
28,540,2006,606,6,115,2799,24.33913043
28,540,2002,606,6,609,14862,24.40394089
28,540,2001,606,6,277,6233,22.50180505
28,537,2010,606,6,45,1468,32.62222222
28,537,2001,606,6,249,3533,14.18875502
28,540,2004,606,6,299,4478,14.97658863
28,540,2011,606,6,174,6467,37.16666667
28,541,2006,619,6,9324,1650,0.176962677
28,541,2003,619,6,10477,1836,0.175241004
28,541,2001,619,6,10314,1082,0.104905953
28,532,2003,619,6,24,4,0.166666667
28,538,2002,619,6,10,2,0.2
28,535,2003,619,6,19,3,0.157894737
28,532,2002,619,6,86,19,0.220930233
28,535,2005,619,6,21,7,0.333333333
28,535,2002,619,6,15,3,0.2
28,532,2004,619,6,24,8,0.333333333
28,537,2003,619,6,3,0,0
28,535,2006,619,6,20,4,0.2
28,532,2010,619,6,29,10,0.344827586
28,539,2005,619,6,4,1,0.25
28,532,2005,619,6,60,21,0.35
28,532,2006,619,6,62,11,0.177419355
28,541,2005,619,6,9276,3195,0.344437257
28,538,2001,619,6,18,2,0.111111111
28,535,2004,619,6,23,8,0.347826087
28,538,2003,619,6,3,0,0
28,541,2010,619,6,6564,2046,0.311700183
28,532,2001,619,6,24,2,0.083333333
28,538,2005,619,6,3,1,0.333333333
28,541,2008,619,6,7903,3680,0.465645957
28,541,2002,619,6,10618,2334,0.219815408
28,538,2006,619,6,3,NA,NA
28,537,2002,619,6,3,1,0.333333333
28,538,2004,619,6,3,1,0.333333333
28,532,2011,619,6,29,23,0.793103448
28,541,2004,619,6,10393,3615,0.34783027
28,541,2009,619,6,7532,3314,0.439989379
28,535,2001,619,6,18,2,0.111111111
28,541,2011,619,6,6581,5049,0.767208631
28,537,2004,619,6,4,1,0.25
28,537,2005,619,6,4,1,0.25
28,538,2008,619,6,9,4,0.444444444
28,537,2006,619,6,4,1,0.25
28,533,2011,1002,1,15,6,0.4
28,537,2003,1002,1,12228,6505,0.531975793
28,534,2008,1002,1,387,180,0.465116279
28,539,2007,1002,1,39000,20000,0.512820513
28,539,2005,1002,1,78277,21604,0.275994226
28,533,2004,1002,1,341,128,0.375366569
28,538,2003,1002,1,146945,69652,0.474000476
28,538,2005,1002,1,179190,78844,0.440002232
28,534,2004,1002,1,2776,1043,0.375720461
28,534,2002,1002,1,737,289,0.392130258
28,535,2002,1002,1,2234,876,0.392121755
28,535,2005,1002,1,5073,1938,0.382022472
28,532,2006,1002,1,285,121,0.424561404
28,541,2006,1002,1,4,2,0.5
28,532,2009,1002,1,152,60,0.394736842
28,535,2010,1002,1,732,358,0.489071038
28,538,2008,1002,1,90413,43669,0.482994702
28,535,2004,1002,1,6921,2603,0.376101719
28,532,2008,1002,1,236,110,0.466101695
28,534,2011,1002,1,187,73,0.390374332
28,535,2009,1002,1,583,230,0.394511149
28,538,2004,1002,1,138881,46108,0.331996457
28,538,2002,1002,1,130954,61680,0.471005086
28,541,2005,1002,1,6,3,0.5
28,533,2005,1002,1,480,183,0.38125
28,534,2009,1002,1,152,60,0.394736842
28,534,2003,1002,1,4436,2032,0.458070334
28,533,2008,1002,1,96,45,0.46875
28,534,2005,1002,1,10228,3907,0.381990614
28,538,2010,1002,1,83957,46513,0.554009791
28,539,2006,1002,1,46492,16691,0.359008001
28,538,2009,1002,1,84106,34988,0.415998859
28,535,2007,1002,1,2000,1000,0.5
28,538,2001,1002,1,165340,48775,0.294998186
28,539,2004,1002,1,66341,25403,0.382915542
28,535,2001,1002,1,1603,471,0.29382408
28,534,2007,1002,1,2000,1000,0.5
28,535,2003,1002,1,6550,3000,0.458015267
28,533,2001,1002,1,153,45,0.294117647
28,541,2001,1002,1,5,1,0.2
28,532,2004,1002,1,513,193,0.376218324
28,535,2008,1002,1,1480,686,0.463513514
28,532,2005,1002,1,774,296,0.382428941
28,532,2002,1002,1,1343,526,0.391660462
28,539,2008,1002,1,27065,8634,0.319009791
28,532,2010,1002,1,188,92,0.489361702
28,532,2001,1002,1,1419,417,0.293868922
28,539,2001,1002,1,64705,17988,0.278000155
28,532,2003,1002,1,1402,642,0.457917261
28,537,2009,1002,1,4378,1204,0.275011421
28,538,2006,1002,1,121181,55259,0.456003829
28,539,2002,1002,1,60603,12484,0.205996403
28,534,2006,1002,1,2469,1050,0.42527339
28,533,2009,1002,1,6,2,0.333333333
28,539,2003,1002,1,77153,30321,0.392998328
28,537,2011,1002,1,2964,943,0.318151147
28,534,2010,1002,1,110,54,0.490909091
28,541,2004,1002,1,15,6,0.4
28,539,2010,1002,1,12206,2636,0.215959364
28,541,2002,1002,1,11,4,0.363636364
28,535,2006,1002,1,2453,1043,0.42519364
28,532,2011,1002,1,164,64,0.390243902
28,533,2010,1002,1,21,10,0.476190476
28,539,2011,1002,1,8488,866,0.10202639
28,533,2002,1002,1,127,50,0.393700787
28,533,2006,1002,1,344,146,0.424418605
28,538,2011,1002,1,77338,32327,0.417996328
28,535,2011,1002,1,634,247,0.389589905
28,539,2009,1002,1,9133,1945,0.212963977
28,534,2001,1002,1,190,56,0.294736842
28,541,2003,1002,1,52,24,0.461538462
28,538,2007,1002,1,116000,84000,0.724137931
28,533,2003,1002,1,305,140,0.459016393
28,537,2006,1002,1,5513,1841,0.333937965
28,540,2008,1002,1,2255,805,0.356984479
28,537,2005,1002,1,14921,3506,0.234970846
28,537,2007,1002,1,7000,2000,0.285714286
28,540,2001,1002,1,3724,2313,0.621106337
28,540,2004,1002,1,7642,7443,0.973959696
28,537,2008,1002,1,8067,6260,0.776000992
28,540,2005,1002,1,7611,3136,0.412035212
28,537,2010,1002,1,5887,742,0.126040428
28,540,2011,1002,1,1732,1202,0.693995381
28,540,2009,1002,1,887,645,0.727170237
28,540,2010,1002,1,646,266,0.411764706
28,540,2003,1002,1,6571,4889,0.744026784
28,537,2001,1002,1,12525,3405,0.271856287
28,540,2006,1002,1,3137,1202,0.383168632
28,540,2007,1002,1,3000,1000,0.333333333
28,537,2002,1002,1,10772,5052,0.468993687
28,540,2002,1002,1,3297,1474,0.447073097
28,537,2004,1002,1,14384,6602,0.458982202
28,537,2011,1006,6,1,14606,14606
28,537,2002,1006,6,13,148564,11428
28,541,2001,1006,6,1106,11703240,10581.59132
28,541,2003,1006,6,1050,11933140,11364.89524
28,541,2005,1006,6,954,8023244,8410.109015
28,539,2002,1006,6,21,228560,10883.80952
28,541,2002,1006,6,1083,11850836,10942.60018
28,541,2006,1006,6,819,10348515,12635.54945
28,539,2005,1006,6,36,304570,8460.277778
28,537,2003,1006,6,11,129580,11780
28,535,2005,1006,6,1,8702,8702
28,537,2004,1006,6,14,165046,11789
28,538,2006,1006,6,9,117153,13017
28,533,2009,1006,6,4,44688,11172
28,541,2008,1006,6,764,6972108,9125.795812
28,539,2003,1006,6,30,341620,11387.33333
28,539,2006,1006,6,34,429561,12634.14706
28,533,2008,1006,6,12,111852,9321
28,539,2011,1006,6,3,43818,14606
28,538,2005,1006,6,13,113126,8702
28,541,2011,1006,6,675,9260204,13718.82074
28,539,2004,1006,6,26,306514,11789
28,535,2004,1006,6,1,11789,11789
28,535,2006,1006,6,1,13017,13017
28,535,2002,1006,6,1,11428,11428
28,538,2011,1006,6,4,58424,14606
28,538,2009,1006,6,2,22344,11172
28,533,2011,1006,6,2,29212,14606
28,537,2005,1006,6,13,113126,8702
28,537,2006,1006,6,11,143187,13017
28,541,2009,1006,6,751,8289624,11038.11451
28,535,2001,1006,6,2,22040,11020
28,539,2001,1006,6,18,187340,10407.77778
28,537,2008,1006,6,1,9321,9321
28,537,2009,1006,6,2,22344,11172
28,538,2002,1006,6,11,125708,11428
28,538,2008,1006,6,8,74568,9321
28,538,2004,1006,6,12,141468,11789
28,537,2001,1006,6,13,143260,11020
28,538,2001,1006,6,10,110200,11020
28,541,2004,1006,6,1004,11482486,11436.73904
28,538,2003,1006,6,12,141360,11780
28,533,2002,509,6,428,179,0.418224299
28,541,2009,509,6,8,5,0.625
28,535,2005,509,6,2362,810,0.342929721
28,533,2005,509,6,371,156,0.420485175
28,534,2004,509,6,41,24,0.585365854
28,538,2010,509,6,25,17,0.68
28,532,2001,509,6,2076,1021,0.491811175
28,534,2010,509,6,27,18,0.666666667
