"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly_irri_no","holding_whly_irri_ar","holding_whly_rain_no","holding_whly_rain_ar","holding_prtly_irri_no","holding_prtly_irri_tot.ar","holding_prtly_irri_irri.ar","holding_recve_irri_no","holding_recve_irri_irri.ar"
37,535,"ALL SOCIAL GROUPS","20.0 & ABOVE",240,8764,52,1696,144,2861,38,534,195,90,1891
36,537,"ALL SOCIAL GROUPS","20.0 & ABOVE",175,5127,66,695,55,626,37,584,101,103,796
37,538,"ALL SOCIAL GROUPS","20.0 & ABOVE",379,11934,77,1150,166,2805,89,1263,366,166,1516
37,539,"ALL SOCIAL GROUPS","20.0 & ABOVE",195,7065,61,1174,39,696,84,1328,460,145,1634
37,540,"ALL SOCIAL GROUPS","20.0 & ABOVE",347,11428,78,1494,179,5542,55,661,403,133,1897
37,541,"ALL SOCIAL GROUPS","20.0 & ABOVE",212,9260,83,1935,47,1031,73,3099,420,156,2355
36,542,"ALL SOCIAL GROUPS","20.0 & ABOVE",100,4395,63,1421,18,459,15,594,272,78,1692
36,543,"ALL SOCIAL GROUPS","20.0 & ABOVE",99,3363,51,793,22,449,23,547,138,74,930
36,544,"ALL SOCIAL GROUPS","20.0 & ABOVE",83,2857,30,843,41,782,12,123,34,42,877
36,545,"ALL SOCIAL GROUPS","20.0 & ABOVE",134,4565,78,1569,36,837,20,253,59,98,1628
36,546,"ALL SOCIAL GROUPS","20.0 & ABOVE",80,3038,65,1595,7,135,6,346,192,71,1787
36,547,"ALL SOCIAL GROUPS","20.0 & ABOVE",72,2274,33,495,19,318,15,505,278,48,773
36,548,"ALL SOCIAL GROUPS","20.0 & ABOVE",117,5694,82,2714,31,816,4,240,222,86,2937
36,549,"ALL SOCIAL GROUPS","20.0 & ABOVE",188,5877,25,360,120,1711,39,797,218,64,578
36,550,"ALL SOCIAL GROUPS","20.0 & ABOVE",238,9420,104,2288,67,2086,30,570,344,134,2632
36,551,"ALL SOCIAL GROUPS","20.0 & ABOVE",50,2355,16,562,31,494,2,39,32,18,593
36,552,"ALL SOCIAL GROUPS","20.0 & ABOVE",261,10470,44,633,173,5476,44,1027,311,88,944
36,553,"ALL SOCIAL GROUPS","20.0 & ABOVE",424,14504,11,160,269,7055,139,3093,1058,150,1217
36,554,"ALL SOCIAL GROUPS","20.0 & ABOVE",148,5839,24,986,92,1486,28,319,91,52,1078
37,532,"INSTITUTIONAL","Below 0.5",14,4,4,0,8,1,0,0,0,4,0
37,533,"INSTITUTIONAL","Below 0.5",15,4,7,1,2,0,0,0,0,7,1
37,534,"INSTITUTIONAL","Below 0.5",1,0,0,0,1,0,0,0,0,0,0
37,535,"INSTITUTIONAL","Below 0.5",23,9,7,2,8,2,4,1,0,11,2
36,537,"INSTITUTIONAL","Below 0.5",3,1,0,0,1,0,0,0,0,0,0
37,538,"INSTITUTIONAL","Below 0.5",1,0,0,0,1,0,0,0,0,0,0
37,539,"INSTITUTIONAL","Below 0.5",25,6,16,3,6,1,0,0,0,16,3
37,540,"INSTITUTIONAL","Below 0.5",2,1,2,0,0,0,0,0,0,2,0
