state_code,district_code,social_group_code,class_category_code,noh_individual,auh_individual,noh_joint,auh_joint,noh_total,auh_total,no_tehsils
28.0,541.0,4.0,2.0,0.0,0.0,0.0,0.0,24.0,37.0,46.0
28.0,541.0,4.0,3.0,0.0,0.0,0.0,0.0,53.0,152.0,92.0
28.0,541.0,4.0,4.0,0.0,0.0,0.0,0.0,38.0,260.0,138.0
28.0,541.0,4.0,5.0,0.0,0.0,0.0,0.0,28.0,1723.0,92.0
28.0,532.0,99.0,99.0,518237.0,724836.0,1700.0,3213.0,519995.0,728583.0,2080.0
28.0,533.0,99.0,99.0,473456.0,433711.0,0.0,0.0,473528.0,434465.0,1440.0
28.0,534.0,99.0,99.0,652658.0,628703.0,7.0,12.0,652690.0,629069.0,2280.0
28.0,535.0,99.0,99.0,684280.0,660068.0,79.0,130.0,684543.0,662926.0,1840.0
28.0,537.0,99.0,99.0,341694.0,417079.0,832.0,1453.0,342671.0,419629.0,1480.0
28.0,538.0,99.0,99.0,971617.0,1189744.0,27.0,45.0,971660.0,1190275.0,2520.0
28.0,539.0,99.0,99.0,756975.0,901535.0,78.0,464.0,757188.0,904235.0,2360.0
28.0,540.0,99.0,99.0,660696.0,665482.0,0.0,0.0,660703.0,665558.0,2040.0
28.0,541.0,99.0,99.0,468177.0,533900.0,0.0,0.0,468336.0,536080.0,1840.0
28.0,532.0,1.0,99.0,79871.0,89930.0,423.0,673.0,80294.0,90601.0,520.0
28.0,532.0,2.0,99.0,111178.0,186965.0,162.0,275.0,111340.0,187242.0,520.0
28.0,532.0,3.0,99.0,327188.0,447941.0,1115.0,2265.0,328303.0,450206.0,520.0
28.0,532.0,4.0,99.0,0.0,0.0,0.0,0.0,58.0,534.0,520.0
28.0,533.0,1.0,99.0,62591.0,42523.0,0.0,0.0,62591.0,42523.0,360.0
28.0,533.0,2.0,99.0,38982.0,33615.0,0.0,0.0,38982.0,33615.0,360.0
28.0,533.0,3.0,99.0,371883.0,357573.0,0.0,0.0,371883.0,357573.0,360.0
28.0,533.0,4.0,99.0,0.0,0.0,0.0,0.0,72.0,754.0,360.0
28.0,534.0,1.0,99.0,96578.0,61880.0,1.0,2.0,96579.0,61882.0,570.0
28.0,534.0,2.0,99.0,19332.0,16660.0,0.0,0.0,19332.0,16660.0,570.0
28.0,534.0,3.0,99.0,536748.0,550163.0,6.0,10.0,536754.0,550173.0,570.0
28.0,534.0,4.0,99.0,0.0,0.0,0.0,0.0,25.0,354.0,570.0
28.0,535.0,1.0,99.0,107686.0,74859.0,16.0,13.0,107702.0,74873.0,460.0
28.0,535.0,2.0,99.0,35088.0,36346.0,12.0,14.0,35100.0,36360.0,460.0
28.0,535.0,3.0,99.0,541506.0,548863.0,51.0,103.0,541557.0,548965.0,460.0
28.0,535.0,4.0,99.0,0.0,0.0,0.0,0.0,184.0,2728.0,460.0
