state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
37,540,OTHERS,20.0 & ABOVE,287,9234,1508,4882,6390
37,541,OTHERS,20.0 & ABOVE,159,6578,2089,3268,5357
36,542,OTHERS,20.0 & ABOVE,57,2182,1007,311,1318
36,543,OTHERS,20.0 & ABOVE,79,2539,755,695,1450
36,544,OTHERS,20.0 & ABOVE,31,942,451,153,604
36,545,OTHERS,20.0 & ABOVE,64,1887,595,475,1070
36,546,OTHERS,20.0 & ABOVE,48,1659,970,272,1242
36,547,OTHERS,20.0 & ABOVE,59,1884,804,481,1285
36,548,OTHERS,20.0 & ABOVE,38,1206,374,229,603
36,549,OTHERS,20.0 & ABOVE,151,4347,450,1691,2141
36,550,OTHERS,20.0 & ABOVE,157,4883,1359,1138,2497
36,551,OTHERS,20.0 & ABOVE,43,1709,313,537,850
36,552,OTHERS,20.0 & ABOVE,235,8707,885,5286,6171
36,553,OTHERS,20.0 & ABOVE,367,11401,1235,7573,8808
36,554,OTHERS,20.0 & ABOVE,123,3571,375,1397,1772
37,532,SCHEDULED TRIBES,20.0 & ABOVE,93,2715,16,602,618
37,533,SCHEDULED TRIBES,20.0 & ABOVE,2,67,33,0,33
37,534,SCHEDULED TRIBES,20.0 & ABOVE,3,92,25,21,46
37,535,SCHEDULED TRIBES,20.0 & ABOVE,3,113,0,57,57
36,537,SCHEDULED TRIBES,20.0 & ABOVE,8,253,26,87,113
37,538,SCHEDULED TRIBES,20.0 & ABOVE,16,622,137,146,283
37,539,SCHEDULED TRIBES,20.0 & ABOVE,3,89,1,38,40
37,540,SCHEDULED TRIBES,20.0 & ABOVE,23,627,130,294,424
37,541,SCHEDULED TRIBES,20.0 & ABOVE,37,999,454,122,576
36,542,SCHEDULED TRIBES,20.0 & ABOVE,1,21,0,10,10
36,543,SCHEDULED TRIBES,20.0 & ABOVE,3,67,6,38,44
36,544,SCHEDULED TRIBES,20.0 & ABOVE,42,1049,140,424,564
36,545,SCHEDULED TRIBES,20.0 & ABOVE,25,664,144,101,246
36,546,SCHEDULED TRIBES,20.0 & ABOVE,4,406,608,0,608
36,547,SCHEDULED TRIBES,20.0 & ABOVE,0,0,0,0,0
36,548,SCHEDULED TRIBES,20.0 & ABOVE,0,0,0,0,0
36,549,SCHEDULED TRIBES,20.0 & ABOVE,0,0,0,0,0
36,550,SCHEDULED TRIBES,20.0 & ABOVE,2,63,31,0,31
36,551,SCHEDULED TRIBES,20.0 & ABOVE,1,41,0,0,0
36,552,SCHEDULED TRIBES,20.0 & ABOVE,2,58,0,29,29
36,553,SCHEDULED TRIBES,20.0 & ABOVE,4,103,10,65,75
36,554,SCHEDULED TRIBES,20.0 & ABOVE,0,0,0,0,0
37,532,ALL SOCIAL GROUPS,20.0 & ABOVE,350,11906,487,5655,6142
37,533,ALL SOCIAL GROUPS,20.0 & ABOVE,47,1591,581,183,764
37,534,ALL SOCIAL GROUPS,20.0 & ABOVE,146,4950,2048,450,2499
37,535,ALL SOCIAL GROUPS,20.0 & ABOVE,240,8764,1908,3204,5112
36,537,ALL SOCIAL GROUPS,20.0 & ABOVE,175,5127,839,1123,1962
37,538,ALL SOCIAL GROUPS,20.0 & ABOVE,379,11934,1549,3738,5286
37,539,ALL SOCIAL GROUPS,20.0 & ABOVE,195,7065,1741,1569,3311
37,540,ALL SOCIAL GROUPS,20.0 & ABOVE,347,11428,1981,5833,7814
37,541,ALL SOCIAL GROUPS,20.0 & ABOVE,212,9260,2843,3727,6570
36,542,ALL SOCIAL GROUPS,20.0 & ABOVE,100,4395,1704,976,2680
36,543,ALL SOCIAL GROUPS,20.0 & ABOVE,99,3363,930,998,1929
36,544,ALL SOCIAL GROUPS,20.0 & ABOVE,83,2857,877,871,1749
36,545,ALL SOCIAL GROUPS,20.0 & ABOVE,134,4565,1658,1031,2688
36,546,ALL SOCIAL GROUPS,20.0 & ABOVE,80,3038,2184,290,2474
36,547,ALL SOCIAL GROUPS,20.0 & ABOVE,72,2274,890,566,1456
