"state_code","district_code","social_group_code","class_category_code","tnoh","tauh","woandsoh_noh","woandsoh_aoh","wlh_noh","wlh_auh","wotherwiseoh_noh","wotherwiseoh_auh","poplandpotherwiseo_noh","poplandpotherwiseo_auo","poplandpotherwiseo_aul","poplandpotherwiseo_auotho","poplandpotherwiseo_tauh","poplandpotherwiseo_for_fm","poplandpotherwiseo_for_fp","poplandpotherwiseo_for_sop","poplandpotherwiseo_for_um","poplandpotherwiseo_for_ot","poplandpotherwiseo_for_total","wl_for_fm","wl_for_fp","wl_for_sop","wl_for_um","wl_for_ot","wl_for_total","nsa","aucf","nac","aulefl","fothtcf","cwl","tul","lnotaforc","nowih","auwirrigatedh","nowunirrigatedh","auwunirrigatedh","nopih","aupih","aupihirrigated","nohrirrigation","netauhrirrigation","noh_canalirri","auh_canalirri","noh_tanksirri","auh_tanksirri","noh_wellsirri","auh_wellsirri","noh_tubewellsirri","auh_tubewellsirri","noh_othirri","auh_othirri","exnohrirri","nia","nowinusewelecps","nowinusewdiselps","tnowinusewps","tnowinusewopst","nownotinuse","tubewellselec","tubewellsdisel","tubewellstotal","noh_woresideinvor","auh_woresideinvor","noh_woresidepinvorandpinovtor","aoh_woresidepinvorandpinovtor","noh_woresideoutsidevortor","aoh_woresideoutsidevortor","noh_woresideoutsidetor","aoh_woresideoutsidetor","gca_irrigated","gca_unirrigated","gca_total","noh_individual","noh_joint","noh_institutional","auh_individual","auh_joint","auh_institutional"
28,538,4,1,27,12.72,27,12.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.7,8.87,0,1.21,0,1.21,2.64,0,0,26,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12.72,0,0,0,0,0,0,0,4.17,4.17,0,0,27,0,0,12.72
28,538,4,2,5,7.68,5,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,2.22,5.46,0,0.71,0,0.71,1.51,0,0,5,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.68,0,0,0,0,0,0,0,3.25,3.25,0,0,5,0,0,7.68
28,538,4,3,6,13.92,6,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,5.96,10.97,0,0.94,0,0.94,2.01,0,0,5,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13.92,0,0,0,0,0,0,0,5.02,5.02,0,0,6,0,0,13.92
28,538,4,4,7,41.85,7,41.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.96,11.96,29.92,0,3.82,0,3.82,8.11,0,0,7,17.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41.85,0,0,0,0,0,0,0,17.96,17.96,0,0,7,0,0,41.85
28,538,4,5,10,504.06,10,504.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.3,171.39,332.69,0,54.83,0,54.83,116.54,0,0,10,161.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,504.06,0,0,0,0,0,0,0,161.31,161.31,0,0,10,0,0,504.06
28,539,1,1,67438,27602.62,67432,27600.43,6,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,2.19,15920.45,11488.25,27408.7,6.49,148.74,0,155.23,38.69,23853,9179.33,13684,5968.52,1480,772.6,386.45,25333,9565.78,8523,3037.34,3387,944.1,1428,574.99,11281,4650.84,942,358.51,25333,9565.78,1642,11,1653,7,82,10196,41,10237,66020,27147.72,3,1.81,1347,413.87,68,39.22,12563.31,6650.69,19214,67411,27,0,27595.38,7.24,0
28,539,1,2,16312,22576.59,16312,22576.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14868.41,7353.52,22221.93,16.15,241.3,22.21,279.66,75,5095,5616.53,6336,6853.93,1975,2397.95,1085.1,7070,6701.63,1388,1481.79,463,363.73,474,387.01,4617,4207.82,260,261.28,7070,6701.63,663,0,663,0,52,3725,22,3747,16166,22376.06,7,11.02,129,175.92,10,13.59,8264.37,8642.13,16906.5,16307,5,0,22569.08,7.51,0
28,539,1,3,5582,14636.51,5582,14636.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9963.4,4345.12,14308.52,10.33,202.97,37.52,250.82,77.17,1757,3286.79,2036,3827.18,1325,2849.43,1255.71,3082,4542.5,433,852.84,217,251.84,298,309.98,2188,2996.15,112,131.69,3082,4542.5,255,0,255,0,41,1935,4,1939,5506,14423.77,0,0,67,179.15,9,33.59,5267.64,5630.41,10898.05,5582,0,0,14636.51,0,0
28,539,1,4,1164,6247.4,1164,6247.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3603.4,1725.49,5328.89,19.5,341.97,22.86,384.33,534.18,463,1193.19,325,1015.09,350,1395.12,587.79,813,1780.98,84,372.71,20,42.47,124,193.52,411,718.21,289,454.07,813,1780.98,92,0,92,0,11,515,0,515,1150,6175.07,0,0,0,0,14,72.33,2047.62,1844.32,3891.94,1164,0,0,6247.4,0,0
28,539,1,5,97,1769.07,97,1769.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.03,626.72,1304.75,0.81,149.21,0.4,150.42,313.9,57,399.63,18,85.37,19,193.03,57.26,76,456.89,4,52.99,5,4.5,8,53.89,15,66.27,47,279.24,76,456.89,5,0,5,0,0,39,0,39,97,1769.07,0,0,0,0,0,0,470.7,223.1,693.8,97,0,0,1769.07,0,0
