"state_code","district_code","social_group","size_class","holding_no","holding_ar","sown_ar","current_fallows_ar","cultivated_ar","uncultivated.land_excluding_fallow","fallow_excluding_current.fallow","culturable_waste_land","uncultivated_land","land_not_for_cultivation"
37,535,3,11,224181,54025,38365,14584,52949,37,575,10,621,455
36,537,3,11,78342,22304,9884,11503,21387,151,344,100,595,321
37,538,3,11,242235,61655,43676,17972,61649,0,4,0,4,3
37,539,3,11,182175,49350,31604,17215,48819,65,140,44,249,283
37,540,3,11,192585,47874,41587,6220,47807,5,24,10,39,28
37,541,3,11,92362,26551,24121,2282,26403,0,94,0,94,54
36,542,3,11,270668,63781,61550,2231,63781,0,0,0,0,0
36,543,3,11,213638,48037,46062,1935,47997,4,3,1,8,32
36,544,3,11,219266,51993,51472,304,51776,21,34,5,59,158
36,545,3,11,360241,89144,87875,807,88682,209,0,0,209,253
36,546,3,11,257762,69196,68693,328,69022,2,0,1,3,171
36,547,3,11,215688,61230,60680,535,61215,0,0,0,0,15
36,548,3,11,283640,84223,80756,3467,84223,0,0,0,0,0
36,549,3,11,175366,50662,43992,5824,49816,5,75,422,502,344
36,550,3,11,130240,34378,30933,2556,33488,17,160,376,554,336
36,551,3,11,105204,29988,21383,8334,29717,42,79,13,134,137
36,552,3,11,99234,31717,29455,2200,31655,4,32,0,36,26
36,553,3,11,88872,27405,23487,3882,27369,0,19,0,19,17
36,554,3,11,222355,57027,34819,21442,56260,32,305,24,360,407
37,532,2,11,18221,5142,4536,605,5141,1,0,0,1,0
37,533,2,11,13086,4026,3378,620,3998,0,0,0,0,28
37,534,2,11,7879,2178,1803,375,2178,0,0,0,0,0
37,535,2,11,10735,3088,2311,730,3041,4,31,0,36,11
36,537,2,11,8541,2593,1478,997,2475,13,61,6,80,38
37,538,2,11,29640,8141,5619,2519,8138,0,3,0,3,1
37,539,2,11,29377,8601,5270,3227,8497,7,33,5,45,58
37,540,2,11,41606,11120,10489,612,11101,0,14,0,15,4
37,541,2,11,51817,15218,13568,1597,15165,0,41,0,41,11
36,542,2,11,17337,4479,3561,918,4479,0,0,0,0,0
36,543,2,11,16594,4372,4268,102,4370,0,1,0,2,1
36,544,2,11,29040,7853,7462,304,7766,0,69,0,69,18
36,545,2,11,10200,2756,2217,538,2755,0,0,0,0,2
36,546,2,11,8225,2367,2109,258,2367,0,0,0,0,0
36,547,2,11,6829,1945,1861,84,1945,0,0,0,0,0
36,548,2,11,8164,2447,2263,184,2447,0,0,0,0,0
36,549,2,11,5743,1724,1416,260,1677,1,4,17,22,26
36,550,2,11,15233,4040,3597,304,3901,0,41,35,76,63
36,551,2,11,2865,833,520,305,825,0,2,0,2,6
36,552,2,11,2865,921,828,93,921,0,0,0,0,0
36,553,2,11,4431,1429,1213,215,1429,0,0,0,0,0
36,554,2,11,7092,2022,1219,780,1999,1,15,0,17,6
37,532,99,11,144024,37457,33224,4209,37434,2,0,11,12,11
37,533,99,11,189151,51936,40723,10700,51423,4,24,0,27,486
37,534,99,11,274368,71226,60258,10963,71221,0,1,0,1,3
37,535,99,11,289341,70477,50429,18625,69053,53,851,12,916,507
36,537,99,11,107339,30551,13960,15223,29183,181,535,115,830,538
37,538,99,11,324726,83602,59401,24191,83592,0,7,0,7,3
37,539,99,11,256198,69226,43802,24672,68474,82,247,54,384,368
37,540,99,11,280779,70536,61696,8702,70399,6,80,12,99,39
37,541,99,11,170114,48535,43694,4602,48296,0,174,0,174,66
36,542,99,11,308866,72753,69442,3312,72753,0,0,0,0,0
36,543,99,11,244848,55780,53576,2161,55737,4,4,1,10,33
36,544,99,11,254854,61546,60599,632,61230,22,106,5,133,182
36,545,99,11,421667,102491,100461,1431,101892,264,2,0,266,333
36,546,99,11,299108,79758,78895,675,79570,3,0,1,4,184
36,547,99,11,257268,71639,70889,733,71622,0,0,0,0,17
36,548,99,11,325972,95713,91605,4108,95713,0,0,0,0,0
36,549,99,11,214682,61716,53125,7456,60581,5,91,524,621,514
36,550,99,11,198408,51866,46280,4122,50401,23,329,519,871,594
36,551,99,11,123309,35264,24646,10270,34916,53,103,17,174,174
36,552,99,11,123253,39479,36715,2696,39411,4,38,0,43,26
36,553,99,11,108569,33680,28888,4746,33634,0,27,0,27,18
36,554,99,11,278390,71547,44037,26525,70562,38,468,27,533,452
37,532,4,21,6,8,5,3,8,0,0,0,0,0
37,533,4,21,8,11,4,7,11,0,0,0,0,0
37,534,4,21,5,9,5,4,9,0,0,0,0,0
37,535,4,21,32,46,18,27,45,0,0,0,0,0
36,537,4,21,10,16,3,11,13,1,1,0,2,0
37,538,4,21,0,0,0,0,0,0,0,0,0,0
37,539,4,21,16,22,12,10,22,0,0,0,0,0
37,540,4,21,1,1,1,1,1,0,0,0,0,0
37,541,4,21,24,38,21,12,33,0,5,0,5,0
36,542,4,21,106,162,138,24,162,0,0,0,0,0
36,543,4,21,6,10,7,4,10,0,0,0,0,0
36,544,4,21,43,62,40,22,62,0,0,0,0,0
36,545,4,21,126,183,137,46,183,0,0,0,0,0
36,546,4,21,144,208,165,43,208,0,0,0,0,0
36,547,4,21,1,2,1,1,2,0,0,0,0,0
36,548,4,21,142,214,161,53,214,0,0,0,0,0
36,549,4,21,15,22,12,10,22,0,0,0,0,0
36,550,4,21,152,214,145,69,214,0,0,0,0,0
36,551,4,21,5,6,5,2,6,0,0,0,0,0
36,552,4,21,2,3,3,1,3,0,0,0,0,0
36,553,4,21,80,114,72,42,114,0,0,0,0,0
36,554,4,21,5,8,3,3,6,0,1,0,1,0
37,532,1,21,18917,26616,23626,2967,26593,1,2,6,10,13
37,533,1,21,10813,14520,12880,1426,14306,0,83,1,84,130
37,534,1,21,13973,18940,17230,1622,18852,7,51,0,58,30
37,535,1,21,18593,25236,20089,3773,23862,26,1150,3,1179,195
36,537,1,21,12105,16722,9977,5708,15685,70,503,40,613,424
37,538,1,21,27944,39005,33805,5153,38958,0,46,0,46,1
37,539,1,21,14990,20554,14226,5775,20000,79,246,32,357,196
37,540,1,21,11507,15694,13190,2339,15529,8,129,6,143,22
37,541,1,21,5748,7799,7256,444,7700,0,100,0,100,0
36,542,1,21,1542,2017,1602,415,2017,0,0,0,0,0
36,543,1,21,2076,2796,2528,254,2782,2,0,4,5,9
36,544,1,21,1129,1543,1462,55,1516,1,16,0,18,9
36,545,1,21,2743,3682,3357,233,3590,28,11,0,39,53
36,546,1,21,4469,6090,5986,87,6074,5,0,0,5,12
36,547,1,21,4422,5951,5825,120,5945,0,4,0,4,2
36,548,1,21,5376,7211,6660,552,7211,0,0,0,0,0
36,549,1,21,15758,22123,17637,2252,19889,8,1804,151,1963,272
36,550,1,21,11591,15537,12242,2435,14677,89,300,136,525,335
36,551,1,21,7920,11068,7504,2926,10430,26,369,21,416,222
36,552,1,21,20608,28737,26865,1840,28705,2,27,0,29,3
36,553,1,21,22432,32555,29563,2860,32422,1,55,4,60,73
36,554,1,21,13019,17902,12288,4489,16777,34,871,21,926,199
37,532,3,21,90217,129447,119828,9505,129333,2,6,61,69,45
37,533,3,21,91437,128017,112740,13077,125817,8,530,14,552,1649
37,534,3,21,126752,178297,161088,16749,177837,33,197,7,237,223
37,535,3,21,120377,168747,131580,26833,158413,326,5352,105,5783,4551
36,537,3,21,67816,95571,51933,38516,90449,787,2127,469,3383,1739
37,538,3,21,197502,282862,238781,43716,282497,1,229,1,232,134
37,539,3,21,155305,220963,155852,56218,212070,1441,2693,663,4797,4096
37,540,3,21,105740,148796,128407,18964,147371,105,709,83,898,527
37,541,3,21,62730,87930,83115,3596,86711,0,776,0,776,444
36,542,3,21,62857,86492,83009,3482,86492,0,0,0,0,0
36,543,3,21,57096,79057,72619,5983,78602,157,17,82,256,198
36,544,3,21,41078,55861,54621,750,55371,74,123,42,239,251
36,545,3,21,72592,99582,97319,1298,98617,254,98,0,353,612
36,546,3,21,78380,108878,107062,1217,108279,26,2,5,32,567
36,547,3,21,91402,127884,126135,1570,127705,1,7,0,8,171
36,548,3,21,140692,195277,184097,11116,195213,0,38,2,40,23
36,549,3,21,151097,215873,184513,16203,200716,90,7376,1531,8998,6159
36,550,3,21,77841,109836,92502,12574,105075,644,995,1344,2984,1777
36,551,3,21,113575,163190,120890,34830,155720,245,2981,498,3725,3745
36,552,3,21,163417,233865,217210,16196,233406,51,224,14,289,170
36,553,3,21,209985,309988,283858,25578,309435,1,272,51,324,229
36,554,3,21,128363,181152,121757,48308,170065,608,5550,467,6625,4462
37,532,2,21,34794,49802,43597,6195,49792,1,0,4,4,6
37,533,2,21,10578,14239,12907,1227,14134,0,26,0,26,78
