size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
ALL CLASSES,ALL SOCIAL GROUPS,NIZAMABAD,533,TELANGANA,37,473528,434476,106198,69800,29981,16624,6353,4153,158191,140554,1149,1103,282556,232234
ALL CLASSES,ALL SOCIAL GROUPS,KARIMNAGAR,534,TELANGANA,37,662345,638690,147870,84628,37366,24381,311907,296185,9081,10329,4290,6113,455606,421636
ALL CLASSES,ALL SOCIAL GROUPS,MEDAK,535,TELANGANA,37,684543,662932,7303,2530,38411,16487,17802,11706,179010,137626,5681,4308,237919,172658
ALL CLASSES,ALL SOCIAL GROUPS,RANGAREDDY,537,ANDHRA PRADESH,36,342671,419634,5080,4038,4858,2250,11986,8823,71895,51013,980,1477,92438,67600
ALL CLASSES,ALL SOCIAL GROUPS,MAHABUBNAGAR,538,TELANGANA,37,982314,1204862,55019,52948,14030,9951,9858,9262,187784,190855,17753,18313,279624,281330
ALL CLASSES,ALL SOCIAL GROUPS,NALGONDA,539,TELANGANA,37,757188,904236,143883,121404,21674,12835,42544,36866,171633,140892,6003,7006,372221,319003
ALL CLASSES,ALL SOCIAL GROUPS,WARANGAL,540,TELANGANA,37,663061,667311,6878,9486,80497,55007,314444,270447,17996,15155,6808,6911,417189,357007
ALL CLASSES,ALL SOCIAL GROUPS,KHAMMAM,541,TELANGANA,37,468337,536105,88563,74241,80057,60331,38285,38998,32045,36191,15717,13869,240433,223629
ALL CLASSES,ALL SOCIAL GROUPS,SRIKAKULAM,542,ANDHRA PRADESH,36,525870,349412,258109,156477,110132,57765,9332,4620,8438,5509,8120,5644,388075,230015
ALL CLASSES,ALL SOCIAL GROUPS,VIZIANAGARAM,543,ANDHRA PRADESH,36,446841,342484,52651,33929,211532,92506,20121,9376,14476,14026,4513,4904,287644,154740
ALL CLASSES,ALL SOCIAL GROUPS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,474738,400083,114138,56571,123779,56254,19275,7899,15566,6572,50739,43452,317676,170748
ALL CLASSES,ALL SOCIAL GROUPS,EAST GODAVARI,545,ANDHRA PRADESH,36,698714,501366,351925,181700,61908,49624,1798,1346,88477,64491,15120,12156,509563,309318
ALL CLASSES,ALL SOCIAL GROUPS,WEST GODAVARI,546,ANDHRA PRADESH,36,565831,470051,291684,187106,18055,13804,4028,2702,197114,202831,20147,16018,528339,422461
ALL CLASSES,ALL SOCIAL GROUPS,KRISHNA,547,ANDHRA PRADESH,36,551567,508413,317327,248380,28303,19338,5232,4768,51626,51708,20002,16244,418656,340438
ALL CLASSES,ALL SOCIAL GROUPS,GUNTUR,548,ANDHRA PRADESH,36,760648,701404,402966,333226,5548,5670,4014,3083,73406,76304,20688,19048,506089,437331
ALL CLASSES,ALL SOCIAL GROUPS,PRAKASAM,549,ANDHRA PRADESH,36,670553,847508,62151,61573,35702,22314,3066,3264,92543,99036,27638,13664,217435,199851
ALL CLASSES,ALL SOCIAL GROUPS,NELLORE,550,ANDHRA PRADESH,36,457015,478919,133088,105315,149539,98252,18148,17644,43979,50888,10274,9250,348339,281348
ALL CLASSES,ALL SOCIAL GROUPS,KADAPA,551,ANDHRA PRADESH,36,441306,542399,41235,26619,16408,9540,12290,9213,120506,106363,1417,1874,188751,153609
ALL CLASSES,ALL SOCIAL GROUPS,KURNOOL,552,ANDHRA PRADESH,36,632902,1050086,119649,128673,13579,12993,16914,24848,40138,47774,11893,15164,196263,229453
ALL CLASSES,ALL SOCIAL GROUPS,ANANTHAPUR,553,ANDHRA PRADESH,36,727951,1278010,24963,27916,8027,4670,5692,5891,109015,124936,1006,1002,142799,164416
ALL CLASSES,ALL SOCIAL GROUPS,CHITTOOR,554,ANDHRA PRADESH,36,667182,626306,16656,12281,43847,19231,43923,27451,162087,115725,2428,2943,256392,177632
20.0 & ABOVE,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,6,392,0,0,0,0,0,0,0,0,3,61,3,61
20.0 & ABOVE,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,10,526,0,0,8,203,0,0,0,0,2,60,10,263
20.0 & ABOVE,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,4,268,2,2,2,93,2,11,0,0,0,0,4,106
20.0 & ABOVE,INSTITUTIONAL,MEDAK,535,TELANGANA,37,16,2011,0,0,6,796,0,0,2,17,0,0,8,813
20.0 & ABOVE,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,10,318,0,0,5,86,0,0,1,1,0,0,6,86
20.0 & ABOVE,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,4,377,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,30,1778,14,10,8,284,0,0,14,63,0,0,22,358
20.0 & ABOVE,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,1,65,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,12,1510,0,0,5,132,0,0,3,23,1,78,9,234
20.0 & ABOVE,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,41,2149,8,287,0,0,3,3,3,6,26,368,31,664
20.0 & ABOVE,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,17,757,0,0,0,0,0,0,8,2,14,168,14,170
20.0 & ABOVE,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10,867,0,0,0,0,0,0,0,0,3,286,3,286
20.0 & ABOVE,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,43,1973,3,23,0,0,0,0,3,35,26,810,30,868
20.0 & ABOVE,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,26,911,4,73,0,0,0,0,5,174,15,272,24,519
20.0 & ABOVE,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,3,92,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,72,4341,24,1543,0,0,0,0,0,0,30,946,54,2489
20.0 & ABOVE,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,31,1347,0,0,0,0,0,0,4,24,4,73,8,97
20.0 & ABOVE,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,78,4446,7,149,0,0,1,34,8,169,35,897,48,1249
20.0 & ABOVE,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,581,0,0,0,0,0,0,0,0,5,291,5,291
20.0 & ABOVE,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,15,1354,0,0,0,0,0,0,0,0,3,48,3,48
20.0 & ABOVE,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,42,2714,0,0,0,0,0,0,0,0,1,14,1,14
20.0 & ABOVE,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,16,1953,0,0,0,0,0,0,2,3,5,662,7,665
20.0 & ABOVE,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,17,599,0,0,0,0,1,21,0,0,0,0,1,21
20.0 & ABOVE,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,8,200,0,0,0,0,0,0,0,0,4,54,4,54
20.0 & ABOVE,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,6,221,0,0,0,0,0,0,1,2,0,0,1,2
20.0 & ABOVE,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,8,242,0,0,0,0,0,0,0,0,1,12,1,12
20.0 & ABOVE,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,18,660,0,0,0,0,0,0,0,0,2,32,2,32
20.0 & ABOVE,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,3,89,0,0,0,0,0,0,0,0,2,34,2,34
