size_class,social_group,district_name,district_code,state_name,state_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
20.0 & ABOVE,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,3,92,0,22,22
20.0 & ABOVE,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,72,4341,2489,604,3093
20.0 & ABOVE,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,31,1347,97,539,636
20.0 & ABOVE,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,78,4446,1266,1219,2485
20.0 & ABOVE,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,581,291,0,291
20.0 & ABOVE,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,15,1354,48,689,738
20.0 & ABOVE,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,42,2714,14,1406,1420
20.0 & ABOVE,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,16,1953,665,218,883
20.0 & ABOVE,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,17,599,21,471,493
20.0 & ABOVE,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,8,200,54,46,100
20.0 & ABOVE,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,6,221,2,186,188
20.0 & ABOVE,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,8,242,12,81,93
20.0 & ABOVE,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,18,660,32,386,418
20.0 & ABOVE,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,3,89,34,0,34
20.0 & ABOVE,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,36,1502,343,624,968
20.0 & ABOVE,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,4,173,62,25,87
20.0 & ABOVE,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1,43,21,0,21
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,21,0,21
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,14,18,31
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,86,63,149
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,74,0,74
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,31,60,91
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,14,0,14
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,0,12,12
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,23,192,215
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,0,143,143
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,89,100,189
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,389,4446,4835
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,285,183,468
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,1853,371,2224
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,1093,2696,3788
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,715,922,1637
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,1380,3018,4397
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,1348,1246,2595
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,1508,4882,6390
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,2089,3268,5357
