size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
20.0 & ABOVE,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,3,92,22,71,92,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,72,4341,3093,1247,4341,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,31,1347,636,391,1026,0,321,0,321,0
20.0 & ABOVE,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,78,4446,2465,1411,3876,142,41,49,233,338
20.0 & ABOVE,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,5,581,291,291,581,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,15,1354,733,621,1354,0,0,0,0,0
20.0 & ABOVE,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,42,2714,1420,1288,2708,0,6,0,6,0
20.0 & ABOVE,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,16,1953,883,922,1804,34,28,34,97,52
20.0 & ABOVE,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,17,599,493,106,599,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,8,200,100,100,200,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,6,221,188,24,212,0,9,0,9,0
20.0 & ABOVE,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,8,242,89,153,242,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,18,660,418,242,660,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,3,89,34,55,89,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,36,1502,953,517,1471,0,32,0,32,0
20.0 & ABOVE,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,4,173,87,87,173,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1,43,21,21,43,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,21,21,41,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,31,31,62,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,149,149,298,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,74,74,147,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,91,91,183,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,14,14,27,0,0,0,0,0
