size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
20.0 & ABOVE,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,367,11401,10,146,216,5453,138,3071,1047,148,1193
20.0 & ABOVE,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,123,3571,15,239,79,1175,26,309,88,41,327
20.0 & ABOVE,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,93,2715,1,12,38,585,1,21,4,2,16
20.0 & ABOVE,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,2,67,2,33,0,0,0,0,0,2,33
20.0 & ABOVE,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,3,92,2,25,1,21,0,0,0,2,25
20.0 & ABOVE,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,3,113,0,0,3,57,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8,253,1,22,5,75,1,16,4,2,26
20.0 & ABOVE,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,16,622,5,137,9,146,0,0,0,5,137
20.0 & ABOVE,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,3,89,0,0,2,10,1,30,1,1,1
20.0 & ABOVE,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,23,627,8,130,15,294,0,0,0,8,130
20.0 & ABOVE,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37,999,28,383,8,113,1,23,14,29,397
20.0 & ABOVE,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,1,21,0,0,1,10,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,3,67,0,0,2,23,1,20,6,1,6
20.0 & ABOVE,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,42,1049,7,131,25,357,10,77,9,17,140
20.0 & ABOVE,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,25,664,7,128,6,60,12,58,16,19,144
