size_class,social_group,district_name,district_code,state_name,state_code,holding_total_no,holding_total_area,holding_in_village-in-compelete_no,holding_in_village-in-compelete_area,holding_in_village-in-partly-out-partly_no,holding_in_village-in-partly-out-partly_area,holding_in_village-out-completely_no,holding_in_village-out-completely_area,holding_out_tehsil_no,holding_out_tehsil_area
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,9,351,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,11,286,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,9,314,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,198,6856,4,91,32,1253,0,0
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,34,967,0,0,0,0,1,32
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,124,4112,0,0,7,278,0,0
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,204,6163,3,75,8,181,0,0
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,149,4313,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,318,9304,0,0,23,971,0,0
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,149,4858,5,132,5,119,0,0
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,276,8884,0,0,11,350,0,0
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,150,6329,5,131,0,0,4,118
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,47,1833,10,349,0,0,0,0
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,70,2326,7,174,2,39,0,0
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,31,942,0,0,0,0,0,0
